Date,Price
2020-01-01,98.72
2020-01-02,98.77
2020-01-03,101.04
2020-01-06,103.25
2020-01-07,107.16
2020-01-08,111.82
2020-01-09,113.62
2020-01-10,115.78
2020-01-13,116.1
2020-01-14,116.48
2020-01-15,112.94
2020-01-16,111.46
2020-01-17,110.02
2020-01-20,111.56
2020-01-21,111.83
2020-01-22,117.31
2020-01-23,122.96
2020-01-24,126.33
2020-01-27,129.82
2020-01-28,133.98
2020-01-29,134.81
2020-01-30,135.67
2020-01-31,134.13
2020-02-03,134.16
2020-02-04,138.33
2020-02-05,139.77
2020-02-06,139.79
2020-02-07,139.98
2020-02-10,141.31
2020-02-11,145.6
2020-02-12,142.84
2020-02-13,143.04
2020-02-14,146.52
2020-02-17,143.3
2020-02-18,148.1
2020-02-19,146.59
2020-02-20,149.49
2020-02-21,150.66
2020-02-24,152.64
2020-02-25,149.86
2020-02-26,151.08
2020-02-27,150.83
2020-02-28,155.34
2020-03-02,154.48
2020-03-03,155.24
2020-03-04,155.12
2020-03-05,157.1
2020-03-06,161.69
2020-03-09,162.5
2020-03-10,164.69
2020-03-11,162.03
2020-03-12,162.94
2020-03-13,159.69
2020-03-16,157.47
2020-03-17,162.07
2020-03-18,162.41
2020-03-19,160.93
2020-03-20,161.53
2020-03-23,157.6
2020-03-24,163.65
2020-03-25,162.54
2020-03-26,163.85
2020-03-27,163.42
2020-03-30,163.64
2020-03-31,160.74
2020-04-01,160.08
2020-04-02,162.6
2020-04-03,160.89
2020-04-06,160.78
2020-04-07,167.02
2020-04-08,167.58
2020-04-09,164.9
2020-04-10,168.99
2020-04-13,172.13
2020-04-14,175.38
2020-04-15,176.59
2020-04-16,177.63
2020-04-17,182.76
2020-04-20,181.97
2020-04-21,185.78
2020-04-22,187.0
2020-04-23,190.08
2020-04-24,190.38
2020-04-27,189.43
2020-04-28,186.49
2020-04-29,183.25
2020-04-30,187.38
2020-05-01,184.34
2020-05-04,186.25
2020-05-05,185.03
2020-05-06,182.04
2020-05-07,185.87
2020-05-08,191.69
2020-05-11,184.25
2020-05-12,184.45
2020-05-13,186.47
2020-05-14,186.45
2020-05-15,194.95
2020-05-18,203.65
2020-05-19,204.83
2020-05-20,201.36
2020-05-21,197.47
2020-05-22,189.09
2020-05-25,193.07
2020-05-26,188.9
2020-05-27,190.96
2020-05-28,193.3
2020-05-29,190.87
2020-06-01,187.25
2020-06-02,186.33
2020-06-03,184.77
2020-06-04,188.09
2020-06-05,195.57
2020-06-08,196.16
2020-06-09,199.05
2020-06-10,193.68
2020-06-11,198.87
2020-06-12,208.41
2020-06-15,210.14
2020-06-16,205.8
2020-06-17,204.21
2020-06-18,199.19
